date,open,high,low,close,volume
2025-01-07,241.6599,244.2159,240.0387,240.8941,40856000
2025-01-08,240.6056,242.3859,238.7458,241.3814,37628900
2025-01-10,238.7060,238.8552,231.7341,235.5632,61710900
2025-01-13,232.2612,233.3950,228.4719,233.1265,49630700
2025-01-14,233.4746,234.8372,231.2070,232.0126,39435300
2025-01-15,233.3652,237.6617,233.1563,236.5776,39832000
2025-01-16,236.0605,236.7169,226.7911,227.0199,71759100
2025-01-17,230.8589,231.0280,227.2387,228.7305,68488300
2025-01-21,222.7830,223.2007,218.1881,221.4304,98070400
2025-01-22,218.5959,222.9023,218.5959,222.6139,64126500
2025-01-23,223.5190,225.7965,221.0922,222.4449,60234800
2025-01-24,223.5588,224.4041,220.2071,221.5696,54697900
2025-01-27,222.8029,230.8887,222.7631,228.6112,94863400
2025-01-28,229.5958,238.8851,229.5560,236.9655,75707600
2025-01-29,232.8480,238.5568,232.7386,238.0596,45486100
2025-01-30,237.3733,239.4818,235.9212,236.2992,55658300
2025-01-31,245.8470,245.8470,232.1717,234.7178,100959800
2025-02-03,228.7404,230.5704,224.4737,226.7712,73063300
2025-02-04,226.0154,231.8634,225.4186,231.5352,45067300
2025-02-05,227.2884,231.4059,227.0298,231.2070,39620300
2025-02-06,230.0334,232.5298,229.1781,231.9529,29925300
2025-02-07,231.3363,232.7287,226.0253,226.3933,39707200
2025-02-10,228.5738,229.5894,226.2141,226.6621,33115600
2025-02-11,227.2097,234.2092,227.1400,231.6105,53718400
2025-02-12,230.1967,235.9317,229.6790,235.8421,45243300
2025-02-13,235.8819,241.2884,234.5478,240.4819,53614100
2025-02-14,240.2031,244.4844,239.9442,243.5386,40896200
2025-02-18,243.0905,244.1160,240.7905,243.4091,48822500
2025-02-19,243.5983,244.9424,242.1048,243.8074,32204200
2025-02-20,243.8771,245.7091,243.2299,244.7632,32316900
2025-02-21,244.8827,247.6108,244.1559,244.4844,53197400
2025-02-24,243.8671,247.7801,243.3593,246.0277,51326400
2025-02-25,246.9238,248.9151,243.8472,245.9680,48013300
2025-02-26,243.2697,243.9169,238.0923,239.3170,44433600
2025-02-27,238.3711,241.4079,236.0313,236.2702,41153600
2025-02-28,235.9217,241.0394,229.2010,240.7905,56833400
2025-03-03,240.7407,242.9710,235.0854,236.9971,47184000
2025-03-04,236.6785,239.0282,233.6616,234.9062,53798100
2025-03-05,234.3984,235.5235,228.2353,234.7170,47227600
